check,N,coef,t,p,status,category,excluded_n,month_left_out,boot_se,boot_p2_5,boot_p97_5,share_coef_gt_0,skipped
base_X2,176,0.2112363929649317,4.0647992312452494,4.807382608232921e-05,ok,,,,,,,,
category_collapse,33,0.35093540375685833,2.0085037663191625,0.04458978622716645,ok,,,,,,,,
leave_one_cat,173,0.21073568014821062,4.060758177942536,4.891361429414112e-05,ok,R&D,,,,,,,
leave_one_cat,172,0.21155238884491157,4.0617452974682635,4.8707202567109035e-05,ok,accruals,,,,,,,
leave_one_cat,171,0.2070420327175737,3.917118303138545,8.961377746380714e-05,ok,asset composition,,,,,,,
leave_one_cat,175,0.2110148804823864,4.055498585866868,5.002747516845301e-05,ok,cash flow risk,,,,,,,
leave_one_cat,172,0.22597538025553873,4.428934189807455,9.469991165364768e-06,ok,composite accounting,,,,,,,
leave_one_cat,175,0.2057238461228071,3.9634439548306566,7.387621313223065e-05,ok,default risk,,,,,,,
leave_one_cat,174,0.21375503847002542,4.09288567652315,4.260378010118153e-05,ok,earnings event,,,,,,,
leave_one_cat,172,0.21467384697541253,4.125032317242169,3.7068270349010477e-05,ok,earnings forecast,,,,,,,
leave_one_cat,174,0.21358214583283083,4.102963565844266,4.0789150254307205e-05,ok,earnings growth,,,,,,,
leave_one_cat,164,0.17833820820753177,3.4141770918440346,0.0006397497798019942,ok,external financing,,,,,,,
leave_one_cat,175,0.21113996258700815,4.058547475514665,4.9378895574467715e-05,ok,info proxy,,,,,,,
leave_one_cat,169,0.21787524210166537,4.152757483394208,3.284928139345422e-05,ok,investment,,,,,,,
leave_one_cat,167,0.2052773620551455,3.9682133124946244,7.241350274626916e-05,ok,investment alt,,,,,,,
leave_one_cat,173,0.21064731061750774,4.043527644539765,5.265294480785169e-05,ok,investment growth,,,,,,,
leave_one_cat,167,0.20876564181276458,3.976307328033596,6.999365842467881e-05,ok,lead lag,,,,,,,
leave_one_cat,172,0.2015119158817101,3.7952259721477843,0.00014750904089817052,ok,leverage,,,,,,,
leave_one_cat,169,0.19228540830123353,3.502716640998888,0.0004605391032266715,ok,liquidity,,,,,,,
leave_one_cat,171,0.21121267427600343,3.9523920221902404,7.737384619352247e-05,ok,long term reversal,,,,,,,
leave_one_cat,165,0.24778528250763346,5.186514603956198,2.1426622893352669e-07,ok,momentum,,,,,,,
leave_one_cat,153,0.20425637472956795,3.7327290975494045,0.00018941628156677747,ok,other,,,,,,,
leave_one_cat,175,0.21188911025038892,4.0604867429615545,4.897051792900376e-05,ok,ownership,,,,,,,
leave_one_cat,172,0.2084149851519133,3.9810541753084396,6.861030820341667e-05,ok,payout indicator,,,,,,,
leave_one_cat,168,0.21899702563429801,4.033157662244584,5.5032330015436735e-05,ok,profitability,,,,,,,
leave_one_cat,174,0.2099421995314752,4.018622987037705,5.85392512836364e-05,ok,profitability alt,,,,,,,
leave_one_cat,174,0.21797544243506958,4.150507804682814,3.31738455529748e-05,ok,recommendation,,,,,,,
leave_one_cat,170,0.20821822930646935,4.008689361829437,6.105666882972872e-05,ok,risk,,,,,,,
leave_one_cat,172,0.21028321358360277,4.050742000153478,5.105547657905143e-05,ok,sales growth,,,,,,,
leave_one_cat,172,0.23585746042720207,4.012890140424223,5.9979832203926074e-05,ok,short sale constraints,,,,,,,
leave_one_cat,175,0.22204199013949513,4.012854209028843,5.998896620487116e-05,ok,short-term reversal,,,,,,,
leave_one_cat,175,0.21058067039013245,4.044874783347933,5.23510974116728e-05,ok,size,,,,,,,
leave_one_cat,162,0.1747961775382933,3.1381552605754828,0.0017001479517733968,ok,valuation,,,,,,,
leave_one_cat,170,0.22599331135098383,4.390515747461732,1.1308212500565859e-05,ok,volatility,,,,,,,
leave_one_cat,170,0.21109696691708316,4.044030350254556,5.2540113400201435e-05,ok,volume,,,,,,,
theme_exclusion_beta_size_liquidity,117,0.1783210974711751,3.409888612805171,0.0006498941624866068,ok,,61.0,,,,,,
theme_exclusion_lowvol_lottery,154,0.252210956713769,4.851012172426629,1.2283300669515583e-06,ok,,22.0,,,,,,
theme_exclusion_rd_intangible_growth,152,0.20277323510568346,3.7788674196647674,0.0001575432703279732,ok,,31.0,,,,,,
theme_exclusion_momentum_reversal,139,0.2858209733093393,5.443310198343085,5.229945536838779e-08,ok,,44.0,,,,,,
post_mean_2022H1,176,0.4800996471489607,4.258446710571548,2.058522771182245e-05,ok,,,,,,,,
post_mean_2022H2,176,0.4334588184050231,5.513803622449384,3.511604114583633e-08,ok,,,,,,,,
post_mean_2023,176,0.15635567115002114,2.7821744561129615,0.00539960062500842,ok,,,,,,,,
post_mean_2024,174,0.020913087350604084,0.34414764068758497,0.7307352564970186,ok,,,,,,,,
leave_one_2022_month,176,0.3621490299455282,5.043821990157559,4.563238513727039e-07,ok,,,2022-01,,,,,
leave_one_2022_month,176,0.44918520892451963,6.061857597336439,1.345583259646301e-09,ok,,,2022-02,,,,,
leave_one_2022_month,176,0.5340292928049002,6.011198914418983,1.8415627699500515e-09,ok,,,2022-03,,,,,
leave_one_2022_month,176,0.3906505496526984,5.591127607286507,2.2559970113470008e-08,ok,,,2022-04,,,,,
leave_one_2022_month,176,0.42058221828960185,5.620119726093852,1.908251718664774e-08,ok,,,2022-05,,,,,
leave_one_2022_month,176,0.5713588710236286,5.665380570241569,1.4669857312321678e-08,ok,,,2022-06,,,,,
leave_one_2022_month,176,0.46940391761447936,5.5911144998422415,2.256167343846642e-08,ok,,,2022-07,,,,,
leave_one_2022_month,176,0.525203386728985,5.7886927881765375,7.093630016536386e-09,ok,,,2022-08,,,,,
