block_length,draws_requested,draws_completed,skipped,mean_N,mean_coef,bootstrap_se,p2_5,p97_5,share_coef_gt_0,share_t_gt_2
6,1000,1000,0,176.0,0.1465391339971151,0.05873559095960849,0.02701056157246121,0.25110772130402326,0.988,0.832
12,1000,1000,0,176.0,0.1575310770543248,0.05898104735451216,0.023487933196418478,0.2558294403427486,0.985,0.866
