break_year,break_type,signals_with_betas,N,real_beta_coef,real_beta_t,real_beta_p,status,actual_2022_coef,actual_percentile_vs_placebo,placebo_stronger_count,placebo_n,actual_stronger_than_most_placebos,actual_top_quartile_vs_placebo,any_placebo_sign_flip_vs_2022
2014,placebo,207,183,0.07239027709996562,1.7484647085912,0.08038359148547644,ok,0.17451615296949016,1.0,0,6,True,True,True
2015,placebo,207,183,0.010060867398769095,0.2805421249039519,0.7790616114262671,ok,0.17451615296949016,1.0,0,6,True,True,True
2016,placebo,207,183,0.03880301249424058,1.053810696021934,0.2919695955131322,ok,0.17451615296949016,1.0,0,6,True,True,True
2017,placebo,207,183,-0.03887681193630682,-1.2888890526806607,0.19743666045020147,ok,0.17451615296949016,1.0,0,6,True,True,True
2018,placebo,207,183,-0.14883193688444923,-3.326096997018898,0.0008807127472068725,ok,0.17451615296949016,1.0,0,6,True,True,True
2019,placebo,207,183,-0.13235945519239634,-1.5599108660805734,0.11878094629969954,ok,0.17451615296949016,1.0,0,6,True,True,True
2022,actual,200,176,0.17451615296949016,2.9901630618350294,0.0027882855609076148,ok,0.17451615296949016,1.0,0,6,True,True,True
