Spec,Coefficient,t-stat
A nominal,-0.16074117250328673,-4.620076055705738
B nominal+mkt+vol,-0.08160903254259055,-1.3664076778668934
C real+BEI,0.21810553858374918,3.909994435019681
D real+BEI+mkt+vol,0.21123639296493152,4.0647992312452494
E + category FE,0.1848101940366438,2.8474031880774175
F clustered,0.21123639296493152,3.372023226797919
