spec,N,countries,factors,themes,real_beta_coef,real_beta_t,real_beta_p,bei_beta_coef,bei_beta_t,mkt_beta_coef,mkt_beta_t,pre_vol_coef,pre_vol_t,R2,country_FE,theme_FE,SE,note
W2-1 real+BEI + country FE,3251,22,153,7,0.06441727183008286,7.696694578437459,1.396311090804988e-14,0.03244030806177449,7.725692222912931,,,,,0.10703331454284648,True,False,HC1,
W2-2 + mkt_beta + pre_vol + country FE,3251,22,153,7,0.06244957288142365,7.723953478223753,1.127760159522493e-14,-0.026632533425322923,-3.4556922590349184,0.014106879687998699,8.713125129978485,-0.0002440573916187006,-0.006922016972844108,0.13950462089146376,True,False,HC1,
W2-3 W2-2 + theme FE,3251,22,153,7,0.050351297470853935,6.140537767212547,8.224257768699533e-10,-0.023925399408841745,-3.2857469633371514,0.011762596466678352,7.279599821852429,-0.020229821967946395,-0.5766469234978728,0.20246936040105346,True,True,HC1,
W2-4 W2-2 country-clustered SE,3251,22,153,7,0.06244957288142365,3.625505825380226,0.0002883963949796524,-0.026632533425322923,-1.420993465936635,0.014106879687998699,3.821308027345238,-0.0002440573916187006,-0.005850916384211862,0.13950462089146376,True,False,clustered by country,
W2-5 W2-2 factor-clustered SE,3251,22,153,7,0.06244957288142365,5.796099452258246,6.78750222655879e-09,-0.026632533425322923,-2.528965113204051,0.014106879687998699,6.5101265509671595,-0.0002440573916187006,-0.0035598680857392264,0.13950462089146376,True,False,clustered by factor,
W2-6 W2-2 two-way clustered SE,3251,22,153,7,0.06244957288142365,3.3504384506442455,0.0008068373798104584,-0.026632533425322923,-1.3270296955146104,0.014106879687998699,3.5599821940532546,-0.0002440573916187006,-0.0033854407735437013,0.13950462089146376,True,False,two-way country/factor cluster,
