spec,N,countries,factors,themes,real_beta_coef,real_beta_t,real_beta_p,bei_beta_coef,bei_beta_t,mkt_beta_coef,mkt_beta_t,pre_vol_coef,pre_vol_t,R2,country_FE,theme_FE,SE,note
leave_one_country_gbr,3098,21,153,7,0.059283286001979574,7.215062471314539,5.39092218528652e-13,-0.023583845557788682,-3.0172026301242516,0.013826226017575043,8.40659110904013,-0.004259445961794646,-0.11799718466887829,0.14065307107068203,True,False,HC1,
leave_one_country_hkg,3098,21,153,7,0.06303211358691944,7.691807075823749,1.450712575318112e-14,-0.02760471956771316,-3.528976770857189,0.014545607908006462,8.787760592367693,-0.005346431579808325,-0.14581381904222118,0.14414817463601104,True,False,HC1,
leave_one_country_irl,3157,21,153,7,0.06952728731330828,8.841735254384734,9.424332136158352e-19,-0.03550861269480533,-4.6666446710018805,0.012906710897716191,7.557210409831608,-0.024393201933385306,-0.6790489126371284,0.11299842421783324,True,False,HC1,
leave_one_country_isr,3107,21,153,7,0.06182766657929026,7.511504429907425,5.845169304886551e-14,-0.02048085434949542,-2.496161628115335,0.013212329196503813,7.86661985683168,-0.0034679353652425247,-0.09463303466198547,0.14116000336080803,True,False,HC1,
leave_one_country_ita,3098,21,153,7,0.05872844936319543,7.190545607217555,6.453291592466923e-13,-0.019484295216070396,-2.4621490104855703,0.012306819943018568,7.428320538070927,-0.002597442290879233,-0.07118683819789073,0.1314618329154904,True,False,HC1,
leave_one_country_jpn,3100,21,153,7,0.058847939724415904,7.2057795578585235,5.771270622926519e-13,-0.03074345269347316,-3.898472432946126,0.01509488518828576,9.096915838075661,0.0008042551526087939,0.021624773560005462,0.13995476589345968,True,False,HC1,
leave_one_country_nld,3098,21,153,7,0.06225662001058299,7.408005158408877,1.2821331810452168e-13,-0.0268159747271852,-3.3742886279118562,0.014466035291433085,8.649225246686337,0.002667680466309876,0.07233643013004903,0.139935980291493,True,False,HC1,
leave_one_country_nor,3104,21,153,7,0.0598514588280937,7.32882212944573,2.321842995139217e-13,-0.025315209919609127,-3.1722483399420165,0.013952512774764551,8.485551901287577,0.0015888634280081058,0.04370699490122719,0.14168278270793,True,False,HC1,
leave_one_country_nzl,3112,21,153,7,0.06362952383883311,7.747323206577704,9.384986395019833e-15,-0.025318095672195624,-3.2123350973296265,0.014111845934661818,8.54365439388991,0.010791863421369088,0.29932125803695775,0.14376599635583776,True,False,HC1,
leave_one_country_prt,3115,21,153,7,0.054174817451387275,6.766852259490552,1.3161434945785866e-11,-0.024775871813829863,-3.160822341484138,0.01364890313148384,8.21503493947257,-0.005491493392743866,-0.15220943263010497,0.13121178409889467,True,False,HC1,
