country,factor,theme,real_beta,real_beta_t,bei_beta,bei_beta_t,mkt_beta,pre_mean,pre_vol,post_mean,n_pre,n_post,post_mean_2022,post_mean_2023,post_mean_2024
aus,age,intangibles,-0.02171566903930949,-1.4747777586856392,0.12009507678910566,5.101521046338944,0.3298623362120751,-0.0037632173950260333,0.052796959178243855,-0.0069477123451095095,227,48,-0.03083174136706519,-0.0072097876779896085,-0.0008480944824475915
aus,aliq_at,intangibles,0.0018762244690255238,0.14298933762677615,-0.0729580032235145,-3.424844668612636,-0.2520416655251663,-0.0027017668258280665,0.036734510352842635,-0.006162917443300871,227,48,-0.0007451388671657492,0.004602140834321957,-0.0001594158384401344
aus,aliq_mat,intangibles,-0.0006994850947282338,-0.06956842342145325,-0.06034482720489609,-3.668299034377026,-0.17463300168414136,-0.0020042479943833073,0.030370957665860083,-0.013074085732591426,227,48,-0.03425834697513248,0.007130264688386518,0.010152703808654833
aus,ami_126d,trading frictions,-0.0033567577388204702,-0.41927650204208866,0.06438825949398698,7.236636536886879,0.17284708995217682,0.0023677776902318835,0.026909259456005155,-0.00261073483112201,227,48,-0.015493292740640928,-0.008439734862735825,-0.0049472145970245835
aus,at_be,profitability,-0.021028733423588516,-2.611281016710424,0.03489623404768717,3.2123058032213554,0.09560756852677596,0.0008814304407555349,0.028395186179931867,-0.001056791341178728,227,48,-0.005662395887693575,0.0009347446288906009,-0.002793624659339883
aus,at_gr1,investment,0.004518914249221282,0.38352116999202857,-0.03217675674897218,-1.8300181499939656,-0.14051335025665967,-0.00017322791795292027,0.028690691607627397,0.0008444829508450705,227,48,0.007375841985219008,0.0005773375325059752,-0.0007369865629550659
aus,at_me,value,0.01254036482122332,0.8939330111246903,0.0036830533964718032,0.20574158986293795,0.021607938054344272,-0.002266864272094845,0.03498853493818618,0.007492853566416176,227,48,0.0280169904616563,-0.004598791548260267,-0.004541301293088392
aus,at_turnover,profitability,0.012416227738173203,1.3207507733276718,-0.009396590594307263,-0.9183028982153236,-0.04819654481926793,0.002312202522800526,0.020475415950384566,0.00010629595643460111,227,48,-0.0037718939145877668,0.007932014083622126,0.00302490280717665
aus,be_gr1a,investment,0.013527598369642454,1.2374623957933284,-0.030980850879643515,-2.4889936145534475,-0.13357515089783328,-0.002462114664389488,0.027328365024448492,-0.0017704864686425353,227,48,0.007526551626744041,-0.004635371901115659,-0.007374064030624233
aus,be_me,value,0.0005019361199030205,0.046452016157567305,0.027767987793294917,1.8190433528167294,0.07275445793207223,-0.002622410268207568,0.031075926345053618,0.006354795016935646,227,48,0.023067350945801462,-0.0035317916713456994,-0.010570727779889875
aus,beta_60m,trading frictions,0.003270958001098225,0.22733649533371306,-0.11679453369718192,-5.4498531270744985,-0.41906881728359824,-0.0011283464959102815,0.040449209692391234,-0.0011195648645985939,227,48,-0.002295629370782651,-0.00015614089735809084,0.002880983409334341
aus,beta_dimson_21d,trading frictions,-0.0030531398435115955,-0.24560470589388841,-0.06514813797515917,-3.8330445785533263,-0.2947876998249275,0.002361820707714568,0.03226074321948246,-0.0005143397669499673,227,48,0.005583818049994351,-0.008711979656037816,0.009917998393677168
aus,betabab_1260d,trading frictions,-0.009435083499092218,-0.788088765902988,-0.10295309182323419,-4.052293788559683,-0.38875543237301713,0.0018229045611403048,0.041492390417147494,-0.0024994387937800453,227,48,-0.0032636770350929173,-0.0055861301169999175,0.006235016620156301
aus,betadown_252d,trading frictions,-0.0013544481031270003,-0.08985767395509897,-0.12126381012245428,-4.966401585378414,-0.43746119184689486,9.28725978363778e-05,0.04151184836177362,-0.0006809287145538648,227,48,0.0039849414601556095,-0.007611272029646683,0.0013832208192202835
aus,bev_mev,value,0.006535592145854151,0.5623167194246668,0.01789166278584797,1.0392373684719856,0.04363223608934202,-0.002803268329466313,0.03378506376303193,0.005757169252299264,227,48,0.024190158449035586,-0.004386447227942025,-0.0082674204736675
aus,bidaskhl_21d,trading frictions,-0.0054965408929510875,-0.6850935683062601,0.0715404515004191,6.586298990413167,0.26569150252229995,0.0009121521101643152,0.03023438597288807,-0.0035397996321654417,227,48,-0.013678659710488844,-0.0061329653228826,-0.0036368927251790163
aus,capex_abn,investment,-0.008826932693712066,-1.2360222736761068,0.012231938215437804,0.99728804498067,0.08113290422893071,0.0005998767996012097,0.021830181183700753,0.0025286536152304604,227,48,-0.001188775959783034,-0.001065049867531408,0.01321256531679816
aus,capx_gr1,investment,4.894677575649855e-05,0.00546571122792654,-0.017267692200777847,-1.433896333214785,-0.06126556215643994,0.0015967414091367968,0.025616357553016483,0.00839900761578964,227,48,0.011774129995234141,0.005413047784713517,0.009054840571654142
